,correct regex,faulty regex
1,(a*ba*b)*a*ba*,(a*)b((a*)(b(a*b)b))+a*
2,(a*ba*b)*a*ba*,a*b(bb+|a*|bab)*
3,(a*ba*b)*a*ba*,(bb)+
4,(a*ba*b)*a*ba*,a*b(a|(ba*b))b
5,(a*ba*b)*a*ba*,a*b(bb)*(a+b(bb)*)*a*
6,(a*ba*b)*a*ba*,a*b(ba*(b|a)a)*
7,(a*ba*b)*a*ba*,(a)*(b|bb)(a)*(bb)*(a)*
8,(a*ba*b)*a*ba*,(a*ba*(bb)*a*)|(a*bba*(b)*a*)
9,(a|(b*bb))*,bb(a|b)*b
10,(a*ba*b)*a*ba*,"b(b{2,})*"
11,(a*ba*b)*a*ba*,(((a*)+b+(a*)+b+(a*))*)+b+(((a*)+b+(a*)+b+(a*))*)
12,(a*ba*b)*a*ba*,a*b(bb+|a*)*
13,(a|(b*bb))*,(a|b)*b+bb+(a|b)*
14,(a*ba*b)*a*ba*,(a*)b(a*|bb*)
15,(a|b)*baa(a|b)*b,(a*b*)*bba(a*b*)*b
16,(a|baa)*,a*ba*((ab|ba|b)b)*a*
17,(a*ba*b)*a*ba*,((a*)+b+(a*)+(bb*)+(a*))
18,(a*ba*b)*a*ba*,(a*b(a*)(bb*))|(a*(bb)*a*b)
19,(a*ba*b)*a*ba*,a*b+(bb*|a*)bb*
20,(a|(b*bb))*,a*bb*a*bb*
21,(a|b)(a|b)+aaa+,(aa|bb)*aaa
22,(a|b)(a|b)+aaa+,((b)+(aaa+))
23,(a|b)(a|b)+aaa+,bbb*aaa*
24,(a|baa)*,"b+a{2,}"
25,(a|baa)*,b(b*)aa(a*)
26,(a|b)(a|b)+aaa+,(a|b{2})+a{3}a*
27,(a|b)(a|b)+aaa+,b|(a*b*)*aaa
28,(a|b)(a|b)+aaa+,(a|b)|(a|b)*(aaa)a*
29,(a|baa)*,(b)+(a)+(a)*
30,(a|baa)*,"[a-b](ba{2,})?"
31,(ab|ba)*,(ab|ba?)(aa|ab|ba|bb)*
32,(a*ba*b)*a*ba*,a*b(bb)*a*(b(bb)*)*a*
33,(a*ba*b)*a*ba*,a*ba*|a*bbb*a
34,(a*ba*b)*a*ba*,(b+(bb*))
35,(a*ba*b)*a*ba*,bb*b
36,(a*ba*b)*a*ba*,bb*b+
37,(a*ba*b)*a*ba*,b+((bb)*(a)*)*
38,(a|(b*bb))*,b(a+b)*b
39,(a|baa)*,(b)+(aa)*
40,(a*ba*b)*a*ba*,b+(a*|bb*)
41,(a|(b*bb))*,(bb*)+(bbb)*
42,(a*ba*b)*a*ba*,a*(b+)bb*
43,(a*ba*b)*a*ba*,(b|(ab|ba)+)b
44,(a|(b*bb))*,(a|b)*bb+(a|b)*|(a|b)*b+b(a|b)*
45,(a|(b*bb))*,(a|b)*bb*b(a|b)*
46,(a|(b*bb))*,(a|b)*bb(a|b)*
47,(a*ba*b)*a*ba*,ba*b|a*ba
48,(a*ba*b)*a*ba*,(a|bb)*(b)+(a|bb)*
49,(a|b)*baa(a|b)*b,(ba*)+b
50,(a|b)*baa(a|b)*b,(a|b)*(baa*)(a|b)*b
51,(a|b)*baa(a|b)*b,(a*(b+a+)+b+)
52,(a|(b*bb))*,b(ab+ba+b)*
53,(a*ba*b)*a*ba*,(bb)*a*ba*(bb)*(ab)*
54,(a*ba*b)*a*ba*,a*(bb)*a*b+a*(bb)*a*
55,(a*ba*b)*a*ba*,b(a*bb*)
56,(a|(b*bb))*,b+(a+b)*b
57,(a*ba*b)*a*ba*,(a*)+b+((a*)|(b+(a*)+b))+(a*)
58,(a*ba*b)*a*ba*,b*ab*ba*
59,(a*ba*b)*a*ba*,a*b+(a|b(a)*b)*
60,(a*ba*b)*a*ba*,a*b+(a|ba*b)*
61,(a|b)(a|b)+aaa+,(a+|b+)*aaa
62,(a|b)(a|b)+aaa+,(a*|b*)+(a*|b*)+aaa+
63,(a|b)*baa(a|b)*b,(a|b)*aab+(a|b)*b
64,(a|b)*baa(a|b)*b,(a|b)*aab(a|b)*b
65,(b|(a*aa))*,(b*|ab+)*aa(a+b)*
66,(a|b)(a|b)+aaa+,(a|b)*aaaa*
67,(a|b)(a|b)+aaa+,(a|b)*(aaa)a*
68,(a|b)(a|b)+aaa+,(a|b)*aaa(a)*
69,(a|b)(a|b)+aaa+,(a|b)*(aaa)+
70,(a|b)(a|b)+aaa+,(a|b)*a{2}aa*
71,(a|b)(a|b)+aaa+,(a|b)*a{3}
72,(a|b)(a|b)+aaa+,[ab]*a{3}
73,(a|b)(a|b)+aaa+,(a+|b+)*aa(a+)
74,(a|b)(a|b)+aaa+,(aa*|ab*|ba*|bb*)*aaaa*
75,(a|b)(a|b)+aaa+,(a*b*)*aaa
