,correct regex,faulty regex
1,.*([AEIOUaeiou])|([A-Z]).*,"(([AEIOUaeiou])|([A-Z])){3,}"
2,".*([A-Za-z]){5,}.*","(.*[A-Za-z].*){5,}"
3,(([A-Za-z])(.*)).*([AEIOUaeiou]).*,.*([A-Za-z]).*([AEIOUaeiou]).*.*
4,((dog)|([AEIOUaeiou])).*([A-Za-z]).*,((dog)|([A-Za-z])).*([AEIOUaeiou]).*
5,"(([A-Za-z]){4,})(.*)","(([A-Za-z])(.*)){4,}"
6,"(([A-Za-z])(.*))|((.){5,})","(.*[A-Za-z].*)|((.){5,})"
7,.*([AEIOUaeiou])|([0-9]).*,(([0-9])|([AEIOUaeiou]))+
8,.*([AEIOUaeiou]).*(.).*.*,(.).*([AEIOUaeiou]).*
9,.*[A-Z].*,.*[AEIOUaeioui].*
10,"(((.).*([AEIOUaeiou]).*)|(dog)){3,}","((.).*([AEIOUaeiou]).*)|((dog){3,})"
11,([AEIOUaeiou]).*(.*..*).*,.*[AEIOUaeiou].*..*.*
12,"((dog)|([AEIOUaeiou])){5,}","((dog){5,})|(.*[AEIOUaeiou].*)"
13,.*(dog)|([a-z])|([AEIOUaeiou]).*,.*([a-z])|([a-z])|(dog).*
14,"(([a-z])|(([A-Za-z]){3,}))(.*)","((([a-z])|([A-Za-z]))(.*)){3,}"
15,(([0-9])|(dog)|(truck)).*([A-Za-z]).*,.*([0-9])|(dog)|(truck).*
16,"((dog){7,})(.*)","((dog)(.*)){7,}"
17,3,3.*3
18,"(dog).*(([a-z]){5,}).*","(dog.*[a-z].*){5,}"
19,.*([0-9])|([A-Z]).*,.*([A-Z])|([0-9]).*
20,"([A-Za-z].*[A-Z].*){2,}","([A-Za-z]).*(([A-Z]){2,}).*"
21,(.*([a-z])|(dog)|(truck).*)*,(.*[A-Za-z].*)*
22,"([0-9]).*(([A-Za-z]){2,}).*","([0-9].*[A-Za-z].*){2,}"
23,"((([AEIOUaeiou])|([A-Z])){5,})(.*)","(([AEIOUaeiou])(.*))|(([A-Z]){5,})"
24,"((dog){3,})(.*)","((dog)(.*)){3,}"
25,"(.*[A-Z].*).*(([a-z]){5,}).*","([A-Z].*[a-z].*){5,}"
26,([AEIOUaeiou].*[A-Z].*)*,([AEIOUaeiou]).*(([A-Z])*).*
27,.*(.).*([AEIOUaeiou]).*.*,([AEIOUaeiou]).*(.).*
28,.*([A-Za-z])|([a-z])|([A-Z]).*,([A-Za-z]).*([A-Za-z]).*
29,([AEIOUaeiou].*[A-Za-z].*)*,([AEIOUaeiou]).*(([A-Za-z])*).*
30,"([AEIOUaeiou].*..*){3,}","([AEIOUaeiou]).*((.){3,}).*"
31,"(([0-9])|([A-Za-z])){7,}","(.*[a-z].*){7,}"
32,"([A-Z]){7,}","(.*[A-Z].*){7,}"
33,"(.*[0-9].*){7,}","(.*[0-9].*){6,}"
34,"(..*[a-z].*){2,}","(.).*(([a-z]){2,}).*"
35,"((..*dog.*)(.*)){2,}","(.).*(([0-9]){2,}).*"
36,"([A-Za-z].*[A-Z].*){3,}","(([A-Za-z]){3,})|(.*[A-Z].*)"
37,([AEIOUaeiou].*[A-Za-z].*).*([a-z]).*,([a-z]).*([a-z].*[A-Za-z].*).*
38,"((dog){2,}).*([A-Z]).*","(dog.*[A-Z].*){2,}"
39,([a-z].*dog.*)|(([A-Za-z])(.*)),(([A-Za-z])(.*))|(.*[a-z].*)
40,((dog)+).*(([A-Za-z])|(truck)).*,(((dog).*([A-Za-z]).*)|(truck))+
41,".*([a-z]){5,}.*","(.*[a-z].*){5,}"
42,"([0-9].*dog.*){6,}","(([0-9]){6,}).*(dog).*"
43,(dog.*..*).*(([0-9])|([AEIOUaeiou])).*,(dog).*(..*[0-9].*)|([AEIOUaeiou])
44,"(([a-z]){7,})(.*)","(([a-z])(.*)){7,}"
45,"([0-9]){4,}","(.*[0-9].*){4,}"
46,"([a-z]).*(([0-9]){3,}).*","([a-z].*[0-9].*){3,}"
47,((.*)([a-z])).*([A-Z].*[A-Za-z].*).*,(.*)([a-z].*[A-Za-z].*)
48,"(..*[A-Z].*){4,}",.*([A-Z]).*([A-Za-z]).*.*
49,([a-z]).*(((.*)([A-Za-z]))+).*,((.*)([a-z])).*([A-Za-z]).*
50,"([a-z]){5,}","(([a-z])(.*)){5,}"
51,([A-Z])+,[A-Z].*[A-Za-z].*
52,([A-Z]).*(([AEIOUaeiou])|([0-9])).*,([A-Z].*[A-Za-z].*)
53,"(((dog)|([a-z])){5,})(.*)","((dog)(.*))|(([a-z]){5,})"
54,(([0-9]).*([a-z]).*)|(([A-Z])+),([0-9]).*(([a-z])|([A-Z])).*
55,"(([a-z]){5,}).*(.).*","([a-z].*..*){5,}"
56,((.).*(dog).*)|([A-Za-z].*truck.*),(.).*((dog)|([A-Za-z])).*
57,([A-Z]).*((.)|(dog)).*,.*([A-Za-z].*..*)|(dog).*
